k_s,sensitivity,cantera equation,cantera products,cantera reactants
856,-9.030952842987139e-14,CO2(13) + HO2(10) <=> CO4(180) + H(3),"{'CO4(180)': 1.0, 'H(3)': 1.0}","{'CO2(13)': 1.0, 'HO2(10)': 1.0}"
957,-9.017702225880539e-14,CO2(156) + F(37) <=> CO2(13) + F(37),"{'CO2(13)': 1.0, 'F(37)': 1.0}","{'CO2(156)': 1.0, 'F(37)': 1.0}"
1395,8.840528392125851e-14,C2HO5(672) + F(37) <=> C2O5(949) + HF(38),"{'C2O5(949)': 1.0, 'HF(38)': 1.0}","{'C2HO5(672)': 1.0, 'F(37)': 1.0}"
1297,-8.7279978077618e-14,C2H2O4(1836) + CFO2(178) <=> C2H2FO4(1840) + CO2(13),"{'C2H2FO4(1840)': 1.0, 'CO2(13)': 1.0}","{'C2H2O4(1836)': 1.0, 'CFO2(178)': 1.0}"
686,-8.498506753263233e-14,CFO2(178) + CO2(13) + HF(38) <=> C2F2O3(516) + OH(5),"{'C2F2O3(516)': 1.0, 'OH(5)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
796,-8.474937122085651e-14,CHO2(154) + OH(5) <=> CH2O3(316),{'CH2O3(316)': 1.0},"{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
194,8.104926550635653e-14,HCO(14) + O2(2) <=> HCO(14) + O2(149),"{'HCO(14)': 1.0, 'O2(149)': 1.0}","{'HCO(14)': 1.0, 'O2(2)': 1.0}"
1118,7.585657157714258e-14,CHO3(662) + F(37) <=> CHFO3(641),{'CHFO3(641)': 1.0},"{'CHO3(662)': 1.0, 'F(37)': 1.0}"
722,-7.516368447609254e-14,CF2O(48) + CFOOH(127) <=> CO2(13) + OC(F)(F)F(2205),"{'CO2(13)': 1.0, 'OC(F)(F)F(2205)': 1.0}","{'CF2O(48)': 1.0, 'CFOOH(127)': 1.0}"
635,-7.392552836353897e-14,CF2O(48) + HO2(10) <=> O2(149) + O[C](F)F(869),"{'O2(149)': 1.0, 'O[C](F)F(869)': 1.0}","{'CF2O(48)': 1.0, 'HO2(10)': 1.0}"
1280,-7.195093404838799e-14,CHO2(157) + CO2(13) <=> C2HO3(332) + O(4),"{'C2HO3(332)': 1.0, 'O(4)': 1.0}","{'CHO2(157)': 1.0, 'CO2(13)': 1.0}"
1543,7.111599413775188e-14,CHO2(157) + CHO4(412) <=> CH2O4(735) + CO2(13),"{'CH2O4(735)': 1.0, 'CO2(13)': 1.0}","{'CHO2(157)': 1.0, 'CHO4(412)': 1.0}"
1461,7.086821304533243e-14,CFOOH(127) + HO2(10) <=> CHO4(412) + HF(38),"{'CHO4(412)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'HO2(10)': 1.0}"
1142,-7.059280308924664e-14,CO(12) + CO2(156) <=> C2O3(3228),{'C2O3(3228)': 1.0},"{'CO(12)': 1.0, 'CO2(156)': 1.0}"
1696,-7.052054419124936e-14,C2O5(734) <=> CO2(13) + CO3(202),"{'CO2(13)': 1.0, 'CO3(202)': 1.0}",{'C2O5(734)': 1.0}
1288,-6.986792124445415e-14,C2H2FO4(1840) + CH2(T)(17) <=> C2H2O4(1836) + CH2F(45),"{'C2H2O4(1836)': 1.0, 'CH2F(45)': 1.0}","{'C2H2FO4(1840)': 1.0, 'CH2(T)(17)': 1.0}"
1921,-6.584752507966198e-14,H2O(7) + O[C](F)F(869) <=> HF(38) + O[C](O)F(765),"{'HF(38)': 1.0, 'O[C](O)F(765)': 1.0}","{'H2O(7)': 1.0, 'O[C](F)F(869)': 1.0}"
1443,-6.530117067885652e-14,CH2O3(316) + H(3) <=> H(3) + [O]C([O])O(714),"{'H(3)': 1.0, '[O]C([O])O(714)': 1.0}","{'CH2O3(316)': 1.0, 'H(3)': 1.0}"
440,-6.371990477771225e-14,C2O4(206) + F(37) <=> CFO(50) + CO3(658),"{'CFO(50)': 1.0, 'CO3(658)': 1.0}","{'C2O4(206)': 1.0, 'F(37)': 1.0}"
1265,6.15278346486983e-14,C2O4(206) + H(3) <=> C2HO4(1805),{'C2HO4(1805)': 1.0},"{'C2O4(206)': 1.0, 'H(3)': 1.0}"
1151,-6.12335989901771e-14,C2H2O5(845) <=> C2H2O5(1555),{'C2H2O5(1555)': 1.0},{'C2H2O5(845)': 1.0}
821,6.013459629621285e-14,F(37) + O[C]1OO1(661) <=> CHFO3(716),{'CHFO3(716)': 1.0},"{'F(37)': 1.0, 'O[C]1OO1(661)': 1.0}"
1219,-5.892462733487805e-14,C2HO5(670) + H(3) <=> CHO2(157) + CHO3(238),"{'CHO2(157)': 1.0, 'CHO3(238)': 1.0}","{'C2HO5(670)': 1.0, 'H(3)': 1.0}"
2076,-5.887632276913047e-14,CHO2(157) + [O][C]1OO1(659) <=> C2O5(975) + H(3),"{'C2O5(975)': 1.0, 'H(3)': 1.0}","{'CHO2(157)': 1.0, '[O][C]1OO1(659)': 1.0}"
1184,-5.781469912201654e-14,CFOOH(127) + CH2O2(153) <=> CFO2(178) + O[CH]O(970),"{'CFO2(178)': 1.0, 'O[CH]O(970)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O2(153)': 1.0}"
347,5.538648965715087e-14,CFO(50) + [O][C]1OO1(659) <=> CFO(50) + CO3(658),"{'CFO(50)': 1.0, 'CO3(658)': 1.0}","{'CFO(50)': 1.0, '[O][C]1OO1(659)': 1.0}"
827,5.319598555062418e-14,CHO3(238) + F(37) <=> CFOOH(127) + O(4),"{'CFOOH(127)': 1.0, 'O(4)': 1.0}","{'CHO3(238)': 1.0, 'F(37)': 1.0}"
1935,-5.1934413552086526e-14,CO3(658) + O(4) <=> CO2(13) + O2(149),"{'CO2(13)': 1.0, 'O2(149)': 1.0}","{'CO3(658)': 1.0, 'O(4)': 1.0}"
625,-5.006452740218453e-14,CHO2(157) + O[C](F)F(869) <=> CF2O(48) + CH2O2(153),"{'CF2O(48)': 1.0, 'CH2O2(153)': 1.0}","{'CHO2(157)': 1.0, 'O[C](F)F(869)': 1.0}"
1371,-4.7984942317564806e-14,CHO3(238) + O[CH]F(224) <=> CH2O3(316) + CHFO(46),"{'CH2O3(316)': 1.0, 'CHFO(46)': 1.0}","{'CHO3(238)': 1.0, 'O[CH]F(224)': 1.0}"
1179,-4.715117072647697e-14,CH2O2(153) + HO2(10) <=> O2(149) + O[CH]O(970),"{'O2(149)': 1.0, 'O[CH]O(970)': 1.0}","{'CH2O2(153)': 1.0, 'HO2(10)': 1.0}"
1870,-4.6171729227924803e-14,CHO3(238) + H(3) <=> CH2O2(153) + O-2(150),"{'CH2O2(153)': 1.0, 'O-2(150)': 1.0}","{'CHO3(238)': 1.0, 'H(3)': 1.0}"
1417,4.5679545449736046e-14,CH2O3(316) + CO2(13) <=> C2HO5(721) + H(3),"{'C2HO5(721)': 1.0, 'H(3)': 1.0}","{'CH2O3(316)': 1.0, 'CO2(13)': 1.0}"
1416,4.5506884934759524e-14,CH2O3(316) + CO2(13) <=> C2HO5(721) + H(3),"{'C2HO5(721)': 1.0, 'H(3)': 1.0}","{'CH2O3(316)': 1.0, 'CO2(13)': 1.0}"
1255,4.4730407914145767e-14,2 CO2(13) <=> C2O4(191),{'C2O4(191)': 1.0},{'CO2(13)': 2.0}
388,-4.3942111187928704e-14,CFO2(178) + CO2(13) <=> CFO(50) + CO3(202),"{'CFO(50)': 1.0, 'CO3(202)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0}"
1679,-3.935718913032472e-14,C2O5(734) <=> C2O5(1179),{'C2O5(1179)': 1.0},{'C2O5(734)': 1.0}
418,-3.7491989063826485e-14,CH2O2(153) + H2O(7) <=> CH2O3(316) + H2(6),"{'CH2O3(316)': 1.0, 'H2(6)': 1.0}","{'CH2O2(153)': 1.0, 'H2O(7)': 1.0}"
864,3.657154112900111e-14,CHO2(157) + O2(2) <=> CO4(180) + H(3),"{'CO4(180)': 1.0, 'H(3)': 1.0}","{'CHO2(157)': 1.0, 'O2(2)': 1.0}"
1471,-3.5962054119985234e-14,O(4) + O[C]1OO1(661) <=> CHO2(157) + O2(149),"{'CHO2(157)': 1.0, 'O2(149)': 1.0}","{'O(4)': 1.0, 'O[C]1OO1(661)': 1.0}"
1636,-3.546951206098403e-14,C2HO4(1805) <=> C2O3(3471) + OH(5),"{'C2O3(3471)': 1.0, 'OH(5)': 1.0}",{'C2HO4(1805)': 1.0}
1063,3.482910678859494e-14,CHFO(46) + OH(5) <=> CFO2(178) + H2(6),"{'CFO2(178)': 1.0, 'H2(6)': 1.0}","{'CHFO(46)': 1.0, 'OH(5)': 1.0}"
1586,-3.371120811599933e-14,CO3(202) + OH(5) <=> CHO4(412),{'CHO4(412)': 1.0},"{'CO3(202)': 1.0, 'OH(5)': 1.0}"
556,3.351372348913595e-14,CO3(195) <=> CO2(13) + O(4),"{'CO2(13)': 1.0, 'O(4)': 1.0}",{'CO3(195)': 1.0}
879,3.3313176679587787e-14,CO2(13) + CO3(658) <=> CO(12) + [O]O[C]1OO1(684),"{'CO(12)': 1.0, '[O]O[C]1OO1(684)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
1588,3.226680096055424e-14,CHO4(413) + HO2(10) <=> CH2O4(735) + O2(2),"{'CH2O4(735)': 1.0, 'O2(2)': 1.0}","{'CHO4(413)': 1.0, 'HO2(10)': 1.0}"
2001,-3.1081574455670405e-14,C2HO4(350) <=> CHO3(238) + CO(12),"{'CHO3(238)': 1.0, 'CO(12)': 1.0}",{'C2HO4(350)': 1.0}
777,-2.843863663810279e-14,H(3) + [O]C([O])O(714) <=> CHO3(238) + H2(6),"{'CHO3(238)': 1.0, 'H2(6)': 1.0}","{'H(3)': 1.0, '[O]C([O])O(714)': 1.0}"
1131,-2.7949944935235183e-14,CHO3(238) + CO2(13) <=> CO2(13) + O[C]1OO1(661),"{'CO2(13)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO3(238)': 1.0, 'CO2(13)': 1.0}"
1855,-2.7593370560034815e-14,CO2(13) + H2O(7) <=> CH2O2(153) + O-2(150),"{'CH2O2(153)': 1.0, 'O-2(150)': 1.0}","{'CO2(13)': 1.0, 'H2O(7)': 1.0}"
940,2.7289076966678482e-14,O2(2) + [O]F(257) <=> O2(149) + [O]F(257),"{'O2(149)': 1.0, '[O]F(257)': 1.0}","{'O2(2)': 1.0, '[O]F(257)': 1.0}"
1406,-2.7253218384561312e-14,C2HO5(672) <=> C2O5(949) + H(3),"{'C2O5(949)': 1.0, 'H(3)': 1.0}",{'C2HO5(672)': 1.0}
886,-2.6491983777888944e-14,[O]O[C]1OO1(684) <=> CO3(202) + O(4),"{'CO3(202)': 1.0, 'O(4)': 1.0}",{'[O]O[C]1OO1(684)': 1.0}
659,-2.646030580127479e-14,CHO2(157) + [O]C(O)(F)F(767) <=> 2 CFOOH(127),{'CFOOH(127)': 2.0},"{'CHO2(157)': 1.0, '[O]C(O)(F)F(767)': 1.0}"
1190,-2.5022478577163845e-14,CFOOH(127) + CH2O3(316) <=> CFO3(398) + O[CH]O(970),"{'CFO3(398)': 1.0, 'O[CH]O(970)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O3(316)': 1.0}"
1493,-2.4850512958693595e-14,CHO4(412) + CO2(13) <=> C2HO5(721) + O(4),"{'C2HO5(721)': 1.0, 'O(4)': 1.0}","{'CHO4(412)': 1.0, 'CO2(13)': 1.0}"
873,-2.448071441862059e-14,CO4(180) <=> CO3(202) + O(4),"{'CO3(202)': 1.0, 'O(4)': 1.0}",{'CO4(180)': 1.0}
558,-2.3682984647065845e-14,CO3(195) <=> CO3(658),{'CO3(658)': 1.0},{'CO3(195)': 1.0}
947,-2.310561027713222e-14,CO2(13) + CO2(156) <=> 2 CO2(13),{'CO2(13)': 2.0},"{'CO2(13)': 1.0, 'CO2(156)': 1.0}"
1608,-2.2991901775736055e-14,CHO2(154) + [O]CO(428) <=> 2 CH2O2(153),{'CH2O2(153)': 2.0},"{'CHO2(154)': 1.0, '[O]CO(428)': 1.0}"
1322,2.2528310270075263e-14,CO2(13) + O-2(150) <=> CO(12) + O2(2),"{'CO(12)': 1.0, 'O2(2)': 1.0}","{'CO2(13)': 1.0, 'O-2(150)': 1.0}"
1420,-2.249112690188699e-14,C2H2O5(845) <=> C2HO5(721) + H(3),"{'C2HO5(721)': 1.0, 'H(3)': 1.0}",{'C2H2O5(845)': 1.0}
1903,-2.221213588013236e-14,F(37) + O[C](O)F(765) <=> CFOOH(127) + HF(38),"{'CFOOH(127)': 1.0, 'HF(38)': 1.0}","{'F(37)': 1.0, 'O[C](O)F(765)': 1.0}"
1674,-2.220014400086547e-14,CO2(13) + OO[C]1OO1(2198) <=> C2O5(975) + OH(5),"{'C2O5(975)': 1.0, 'OH(5)': 1.0}","{'CO2(13)': 1.0, 'OO[C]1OO1(2198)': 1.0}"
985,-2.218555098453892e-14,CO2(13) + CO3(658) <=> CO2(156) + [O][C]1OO1(659),"{'CO2(156)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
660,-2.2002281007820752e-14,CFO2(178) + CO2(13) + HF(38) <=> CO2(13) + [O]C(O)(F)F(767),"{'CO2(13)': 1.0, '[O]C(O)(F)F(767)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
811,2.1530828815465943e-14,CHO2(157) + O2(149) <=> CHO2(157) + O2(2),"{'CHO2(157)': 1.0, 'O2(2)': 1.0}","{'CHO2(157)': 1.0, 'O2(149)': 1.0}"
1372,-2.133352319944916e-14,CH2O3(316) + CHFO(46) <=> CHO3(238) + O[CH]F(224),"{'CHO3(238)': 1.0, 'O[CH]F(224)': 1.0}","{'CH2O3(316)': 1.0, 'CHFO(46)': 1.0}"
2065,2.100343350053952e-14,CHO2(157) + HO2(10) <=> CHO4(413) + H(3),"{'CHO4(413)': 1.0, 'H(3)': 1.0}","{'CHO2(157)': 1.0, 'HO2(10)': 1.0}"
1024,-2.054157275185482e-14,CO2(156) + O2(149) <=> CO2(13) + O2(2),"{'CO2(13)': 1.0, 'O2(2)': 1.0}","{'CO2(156)': 1.0, 'O2(149)': 1.0}"
989,-2.018305533275948e-14,CO2(13) + CO3(658) <=> CO2(156) + [O][C]1OO1(659),"{'CO2(156)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
1591,-1.9690897910779966e-14,CO2(156) + HO2(10) <=> CHO4(413),{'CHO4(413)': 1.0},"{'CO2(156)': 1.0, 'HO2(10)': 1.0}"
1915,-1.964764839165865e-14,CHO2(157) + O[C](O)F(765) <=> CFOOH(127) + CH2O2(153),"{'CFOOH(127)': 1.0, 'CH2O2(153)': 1.0}","{'CHO2(157)': 1.0, 'O[C](O)F(765)': 1.0}"
1755,1.9549677587719765e-14,CH2OH(33) + H2O(7) <=> H2(6) + O[CH]O(970),"{'H2(6)': 1.0, 'O[CH]O(970)': 1.0}","{'CH2OH(33)': 1.0, 'H2O(7)': 1.0}"
264,-1.9258321808271403e-14,CHO3(238) <=> CO3(202) + H(3),"{'CO3(202)': 1.0, 'H(3)': 1.0}",{'CHO3(238)': 1.0}
1101,-1.9132197296607193e-14,HO2(10) + [CH]1OO1(152) <=> C1OO1(148) + O2(2),"{'C1OO1(148)': 1.0, 'O2(2)': 1.0}","{'HO2(10)': 1.0, '[CH]1OO1(152)': 1.0}"
997,1.9076821057550534e-14,C2FO4(323) <=> CFO2(178) + CO2(156),"{'CFO2(178)': 1.0, 'CO2(156)': 1.0}",{'C2FO4(323)': 1.0}
964,1.8969976724085998e-14,CO2(156) + OH(5) <=> CHO3(238),{'CHO3(238)': 1.0},"{'CO2(156)': 1.0, 'OH(5)': 1.0}"
243,1.8425996052532625e-14,CO3(658) + F(37) <=> [O]C1(F)OO1(655),{'[O]C1(F)OO1(655)': 1.0},"{'CO3(658)': 1.0, 'F(37)': 1.0}"
1937,-1.841296433323078e-14,CO3(658) + O(4) <=> CO2(13) + O2(2),"{'CO2(13)': 1.0, 'O2(2)': 1.0}","{'CO3(658)': 1.0, 'O(4)': 1.0}"
462,1.827310101612904e-14,C2O4(204) + CO2(13) <=> C2O4(206) + CO2(13),"{'C2O4(206)': 1.0, 'CO2(13)': 1.0}","{'C2O4(204)': 1.0, 'CO2(13)': 1.0}"
893,1.7998822682333658e-14,CF2O(48) + CHO3(238) <=> CO2(13) + [O]C(O)(F)F(767),"{'CO2(13)': 1.0, '[O]C(O)(F)F(767)': 1.0}","{'CF2O(48)': 1.0, 'CHO3(238)': 1.0}"
189,-1.750334087023616e-14,CH2O(19) + O2(149) <=> O(4) + [O]C[O](151),"{'O(4)': 1.0, '[O]C[O](151)': 1.0}","{'CH2O(19)': 1.0, 'O2(149)': 1.0}"
1266,1.7340778237999427e-14,C2HO4(1805) <=> C2HO4(1601),{'C2HO4(1601)': 1.0},{'C2HO4(1805)': 1.0}
626,-1.719814246419656e-14,CHO3(238) + O[C](F)F(869) <=> CF2O(48) + CH2O3(316),"{'CF2O(48)': 1.0, 'CH2O3(316)': 1.0}","{'CHO3(238)': 1.0, 'O[C](F)F(869)': 1.0}"
1688,-1.710418187854627e-14,CO2(13) + CO3(202) <=> CO2(13) + CO3(658),"{'CO2(13)': 1.0, 'CO3(658)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0}"
1215,-1.7019808520984126e-14,C2HFO4(219) <=> CFO2(178) + CHO2(157),"{'CFO2(178)': 1.0, 'CHO2(157)': 1.0}",{'C2HFO4(219)': 1.0}
822,1.6401206593201624e-14,F(37) + O[C]1OO1(661) <=> CHO3(238) + F(37),"{'CHO3(238)': 1.0, 'F(37)': 1.0}","{'F(37)': 1.0, 'O[C]1OO1(661)': 1.0}"
540,1.6237889967267694e-14,CFOOH(127) + CH2O3(316) <=> CH2O3(316) + CO2(13) + HF(38),"{'CH2O3(316)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O3(316)': 1.0}"
2067,-1.5818707957492787e-14,CO2(156) + HO2(10) <=> CO4(180) + H(3),"{'CO4(180)': 1.0, 'H(3)': 1.0}","{'CO2(156)': 1.0, 'HO2(10)': 1.0}"
563,1.5395211934456782e-14,CO(12) + O2(2) <=> CO3(658),{'CO3(658)': 1.0},"{'CO(12)': 1.0, 'O2(2)': 1.0}"
270,-1.522129487024752e-14,CO3(202) + HO2(10) <=> CHO3(238) + O2(2),"{'CHO3(238)': 1.0, 'O2(2)': 1.0}","{'CO3(202)': 1.0, 'HO2(10)': 1.0}"
266,-1.4862742082103155e-14,CHO2(157) + CO3(202) <=> CHO3(238) + CO2(13),"{'CHO3(238)': 1.0, 'CO2(13)': 1.0}","{'CHO2(157)': 1.0, 'CO3(202)': 1.0}"
1324,-1.437732218478437e-14,OH(5) + O[C]1OO1(661) <=> CH2O3(316) + O-2(150),"{'CH2O3(316)': 1.0, 'O-2(150)': 1.0}","{'OH(5)': 1.0, 'O[C]1OO1(661)': 1.0}"
1768,-1.4267921617444722e-14,CHO2(154) + CO2(13) <=> CO2(13) + [CH]1OO1(152),"{'CO2(13)': 1.0, '[CH]1OO1(152)': 1.0}","{'CHO2(154)': 1.0, 'CO2(13)': 1.0}"
1960,-1.4217671624354712e-14,C2FO4(323) + CHO2(154) <=> C2HFO4(219) + CO2(13),"{'C2HFO4(219)': 1.0, 'CO2(13)': 1.0}","{'C2FO4(323)': 1.0, 'CHO2(154)': 1.0}"
784,-1.4068774036292665e-14,O(4) + [O]C([O])O(714) <=> CHO3(238) + OH(5),"{'CHO3(238)': 1.0, 'OH(5)': 1.0}","{'O(4)': 1.0, '[O]C([O])O(714)': 1.0}"
1326,1.4040942646412138e-14,CO3(195) <=> CO2(13) + O-2(150),"{'CO2(13)': 1.0, 'O-2(150)': 1.0}",{'CO3(195)': 1.0}
1779,1.4006942175869127e-14,2 [O][C]1OO1(659) <=> 2 CO3(658),{'CO3(658)': 2.0},{'[O][C]1OO1(659)': 2.0}
559,-1.2915185142287926e-14,CO3(195) <=> CO3(202),{'CO3(202)': 1.0},{'CO3(195)': 1.0}
959,-1.2859224804717037e-14,CHO2(154) + CO2(156) <=> CHO2(154) + CO2(13),"{'CHO2(154)': 1.0, 'CO2(13)': 1.0}","{'CHO2(154)': 1.0, 'CO2(156)': 1.0}"
1279,1.2735130089414196e-14,C2HO3(332) <=> CHO2(157) + CO(12),"{'CHO2(157)': 1.0, 'CO(12)': 1.0}",{'C2HO3(332)': 1.0}
1737,-1.2630996041024774e-14,CH2O(19) + CO2(13) + HF(38) <=> CFO2(178) + CH2OH(33),"{'CFO2(178)': 1.0, 'CH2OH(33)': 1.0}","{'CH2O(19)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1925,-1.22137663391696e-14,CFOOH(127) + HO2(10) <=> O2(149) + O[C](O)F(765),"{'O2(149)': 1.0, 'O[C](O)F(765)': 1.0}","{'CFOOH(127)': 1.0, 'HO2(10)': 1.0}"
1105,1.1949281969535156e-14,CH2O(19) + O(4) <=> H(3) + [CH]1OO1(152),"{'H(3)': 1.0, '[CH]1OO1(152)': 1.0}","{'CH2O(19)': 1.0, 'O(4)': 1.0}"
1961,-1.1746236533241265e-14,C2H2O5(1555) + CHO3(238) <=> C2HO5(670) + CH2O3(316),"{'C2HO5(670)': 1.0, 'CH2O3(316)': 1.0}","{'C2H2O5(1555)': 1.0, 'CHO3(238)': 1.0}"
1140,-1.1695675153286435e-14,CFOOH(127) + OH(5) <=> CHFO3(716) + H(3),"{'CHFO3(716)': 1.0, 'H(3)': 1.0}","{'CFOOH(127)': 1.0, 'OH(5)': 1.0}"
1867,1.158329940370404e-14,CHO2(154) + OH(5) <=> CH2O2(153) + O-2(150),"{'CH2O2(153)': 1.0, 'O-2(150)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
1048,-1.1565145998209888e-14,CO2(156) + O2(149) <=> [O]O[C]1OO1(684),{'[O]O[C]1OO1(684)': 1.0},"{'CO2(156)': 1.0, 'O2(149)': 1.0}"
448,-1.1538940626714246e-14,C2FO4(323) <=> C2O4(204) + F(37),"{'C2O4(204)': 1.0, 'F(37)': 1.0}",{'C2FO4(323)': 1.0}
2091,-1.1165876652758128e-14,CH2O(19) + CH2O3(316) <=> CH3O(26) + CHO3(238),"{'CH3O(26)': 1.0, 'CHO3(238)': 1.0}","{'CH2O(19)': 1.0, 'CH2O3(316)': 1.0}"
1403,-1.1050551595121546e-14,C2O5(949) + HCO(14) <=> C2HO5(672) + CO(12),"{'C2HO5(672)': 1.0, 'CO(12)': 1.0}","{'C2O5(949)': 1.0, 'HCO(14)': 1.0}"
826,1.0984891647780824e-14,CFOOH(127) + O(4) <=> CHFO3(716),{'CHFO3(716)': 1.0},"{'CFOOH(127)': 1.0, 'O(4)': 1.0}"
564,1.0966168631741527e-14,CO3(202) <=> CO(12) + O2(2),"{'CO(12)': 1.0, 'O2(2)': 1.0}",{'CO3(202)': 1.0}
1156,1.0863942644200658e-14,C2HO5(670) + H(3) <=> CH2O3(316) + CO2(13),"{'CH2O3(316)': 1.0, 'CO2(13)': 1.0}","{'C2HO5(670)': 1.0, 'H(3)': 1.0}"
836,-1.0738836253130026e-14,C2H2O5(845) <=> CH2O3(316) + CO2(13),"{'CH2O3(316)': 1.0, 'CO2(13)': 1.0}",{'C2H2O5(845)': 1.0}
1708,-1.054530744288531e-14,O2(2) + [O]C([O])O(714) <=> CHO3(238) + HO2(10),"{'CHO3(238)': 1.0, 'HO2(10)': 1.0}","{'O2(2)': 1.0, '[O]C([O])O(714)': 1.0}"
2053,-1.0541785772676137e-14,CHO4(413) + F(37) <=> CO4(180) + HF(38),"{'CO4(180)': 1.0, 'HF(38)': 1.0}","{'CHO4(413)': 1.0, 'F(37)': 1.0}"
1691,-1.025093763843216e-14,CO2(13) + CO3(202) <=> C2O5(1179),{'C2O5(1179)': 1.0},"{'CO2(13)': 1.0, 'CO3(202)': 1.0}"
1176,-1.0229442627915773e-14,CHO2(157) + O[CH]O(970) <=> 2 CH2O2(153),{'CH2O2(153)': 2.0},"{'CHO2(157)': 1.0, 'O[CH]O(970)': 1.0}"
1226,9.980639399924541e-15,CO3(658) + F(37) <=> CFO2(178) + O(4),"{'CFO2(178)': 1.0, 'O(4)': 1.0}","{'CO3(658)': 1.0, 'F(37)': 1.0}"
1244,-9.795622656359393e-15,CO2(13) + HCO(14) <=> C2O3(208) + H(3),"{'C2O3(208)': 1.0, 'H(3)': 1.0}","{'CO2(13)': 1.0, 'HCO(14)': 1.0}"
1622,9.690188694873474e-15,CH2O(19) + OH(5) <=> CHO2(154) + H2(6),"{'CHO2(154)': 1.0, 'H2(6)': 1.0}","{'CH2O(19)': 1.0, 'OH(5)': 1.0}"
702,-9.562367519764794e-15,CO2(13) + O2(2) <=> CO3(195) + O(4),"{'CO3(195)': 1.0, 'O(4)': 1.0}","{'CO2(13)': 1.0, 'O2(2)': 1.0}"
977,-9.221403136628822e-15,CO2(156) + O(4) <=> CO3(658),{'CO3(658)': 1.0},"{'CO2(156)': 1.0, 'O(4)': 1.0}"
978,-9.040166857572819e-15,CO2(156) + O(4) <=> CO3(202),{'CO3(202)': 1.0},"{'CO2(156)': 1.0, 'O(4)': 1.0}"
852,-8.40143563039946e-15,CH2O2(153) + OH(5) <=> H(3) + [O]C([O])O(714),"{'H(3)': 1.0, '[O]C([O])O(714)': 1.0}","{'CH2O2(153)': 1.0, 'OH(5)': 1.0}"
1709,-8.353837239870178e-15,CO3(202) + H2O2(11) <=> CHO3(238) + HO2(10),"{'CHO3(238)': 1.0, 'HO2(10)': 1.0}","{'CO3(202)': 1.0, 'H2O2(11)': 1.0}"
155,-8.300606880175589e-15,CHO2(154) + H2O(7) <=> CHO3(238) + H2(6),"{'CHO3(238)': 1.0, 'H2(6)': 1.0}","{'CHO2(154)': 1.0, 'H2O(7)': 1.0}"
535,-7.968758370985978e-15,CFOOH(127) + CH2O2(153) <=> C2H2O4(835) + HF(38),"{'C2H2O4(835)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O2(153)': 1.0}"
1547,-7.334984311769294e-15,CH2O4(735) + CO2(13) <=> C2HO5(721) + OH(5),"{'C2HO5(721)': 1.0, 'OH(5)': 1.0}","{'CH2O4(735)': 1.0, 'CO2(13)': 1.0}"
776,-7.222876316773883e-15,OH(5) + [O]C([O])O(714) <=> CHO3(238) + H2O(7),"{'CHO3(238)': 1.0, 'H2O(7)': 1.0}","{'OH(5)': 1.0, '[O]C([O])O(714)': 1.0}"
1796,-7.191729940862444e-15,C2O5(975) <=> C2O5(739),{'C2O5(739)': 1.0},{'C2O5(975)': 1.0}
181,7.151552596644629e-15,2 O2(149) <=> O2(149) + O2(2),"{'O2(149)': 1.0, 'O2(2)': 1.0}",{'O2(149)': 2.0}
1983,-7.07030226904447e-15,2 CO2(13) + HF(38) <=> C2HO4(350) + F(37),"{'C2HO4(350)': 1.0, 'F(37)': 1.0}","{'CO2(13)': 2.0, 'HF(38)': 1.0}"
395,-6.879465710445967e-15,C2FO4(990) <=> CFO(50) + CO3(658),"{'CFO(50)': 1.0, 'CO3(658)': 1.0}",{'C2FO4(990)': 1.0}
871,-6.79348015608143e-15,[O]C([O])O(714) <=> CHO3(238) + H(3),"{'CHO3(238)': 1.0, 'H(3)': 1.0}",{'[O]C([O])O(714)': 1.0}
1566,-6.7849874223522455e-15,CHO2(157) + O2(149) <=> CHO4(413),{'CHO4(413)': 1.0},"{'CHO2(157)': 1.0, 'O2(149)': 1.0}"
